ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,BlockList,BlockList.Cycle,BlockList.Sample,PostTestQ1.RESP,PostTestQ1CJ.RESP,PostTestQ2.RESP,PostTestQ2CJ.RESP,PostTestQ3.RESP,PostTestQ3CJ.RESP,PostTestSlide.RESP,Procedure[Block],Running[Block],Trial,CorrectResponse,Distractor,DistractorList,Fixation.ACC,Fixation.CRESP,Fixation.DurationError,Fixation.OnsetDelay,Fixation.OnsetTime,Fixation.OnsetToOnsetTime,Fixation.RESP,Fixation.RT,Fixation.RTTime,ItemColor,Jitter,JitterList,JitterTime,Lime0List,Orientation,Pos1Color,Pos1Item,Pos2Color,Pos2Item,Pos3Color,Pos3Item,Pos4Color,Pos4Item,Pos5Color,Pos5Item,Pos6Color,Pos6Item,PracticeTrialList,PracticeTrialList.Cycle,PracticeTrialList.Sample,Procedure[Trial],Red0List,Running[Trial],Stimulus.ACC,Stimulus.CRESP,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,Stimulus.RTTime,Target,TargetColor,TargetList,TestTrialList,TestTrialList.Cycle,TestTrialList.Sample,TrainingTrialList,TrainingTrialList.Cycle,TrainingTrialList.Sample
KW_Experiment5A,35,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-18T20:57:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215244</Frequency><Timestamp dt:dt=""r8"">7455000455434</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-18T20:57:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-35-1,59.945,1.0.0.105,2,-1062150000,Professional,2.0.10.353,2.0.10.353,10/18/2018,10/18/2018 20:57,16:57:26,2.0.10.248,1,1,1,1,,,,,,,,PracticeProc,BlockList,1,2,Distractor1.bmp,1,0,,0,41,163988,501,,0,0,cyan,500,2,500,4,horizontal,yellow,Distractor1.bmp,cyan,Distractor2.bmp,lime,Target2.bmp,blue,Distractor1.bmp,purple,Distractor1.bmp,red,Distractor1.bmp,3,1,1,TrialProc,,PracticeTrialList,1,2,-999999,1,164489,0,2,3066,167555,Target2.bmp,lime,2,,,,,,
KW_Experiment5A,35,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-18T20:57:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215244</Frequency><Timestamp dt:dt=""r8"">7455000455434</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-18T20:57:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-35-1,59.945,1.0.0.105,2,-1062150000,Professional,2.0.10.353,2.0.10.353,10/18/2018,10/18/2018 20:57,16:57:26,2.0.10.248,1,1,1,1,,,,,,,,PracticeProc,BlockList,2,2,Distractor1.bmp,1,0,,0,1,168576,600,,0,0,purple,600,3,600,,horizontal,cyan,Distractor1.bmp,yellow,Distractor2.bmp,blue,Distractor1.bmp,lime,Distractor2.bmp,purple,Distractor2.bmp,red,Target2.bmp,6,1,2,TrialProc,5,PracticeTrialList,1,2,-999999,0,169176,0,2,1979,171155,Target2.bmp,red,2,,,,,,
KW_Experiment5A,35,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-18T20:57:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215244</Frequency><Timestamp dt:dt=""r8"">7455000455434</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-18T20:57:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-35-1,59.945,1.0.0.105,2,-1062150000,Professional,2.0.10.353,2.0.10.353,10/18/2018,10/18/2018 20:57,16:57:26,2.0.10.248,1,1,1,1,,,,,,,,PracticeProc,BlockList,3,2,Distractor2.bmp,2,0,,0,1,172179,501,,0,0,red,500,2,500,1,horizontal,lime,Target2.bmp,cyan,Distractor2.bmp,blue,Distractor1.bmp,purple,Distractor2.bmp,yellow,Distractor1.bmp,red,Distractor2.bmp,1,1,3,TrialProc,,PracticeTrialList,1,2,-999999,1,172680,0,2,1107,173787,Target2.bmp,lime,2,,,,,,
KW_Experiment5A,35,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-18T20:57:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215244</Frequency><Timestamp dt:dt=""r8"">7455000455434</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-18T20:57:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-35-1,59.945,1.0.0.105,2,-1062150000,Professional,2.0.10.353,2.0.10.353,10/18/2018,10/18/2018 20:57,16:57:26,2.0.10.248,1,1,1,1,,,,,,,,PracticeProc,BlockList,4,1,Distractor1.bmp,1,0,,0,1,174815,400,,0,0,red,400,1,400,1,vertical,yellow,Distractor1.bmp,cyan,Distractor1.bmp,purple,Distractor1.bmp,red,Distractor1.bmp,lime,Target1.bmp,blue,Distractor1.bmp,5,1,4,TrialProc,,PracticeTrialList,1,1,-999999,0,175215,0,1,932,176147,Target1.bmp,lime,1,,,,,,
KW_Experiment5A,35,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-18T20:57:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215244</Frequency><Timestamp dt:dt=""r8"">7455000455434</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-18T20:57:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-35-1,59.945,1.0.0.105,2,-1062150000,Professional,2.0.10.353,2.0.10.353,10/18/2018,10/18/2018 20:57,16:57:26,2.0.10.248,1,1,1,1,,,,,,,,PracticeProc,BlockList,5,1,Distractor1.bmp,1,0,,0,1,177167,400,,0,0,lime,400,1,400,,vertical,cyan,Distractor2.bmp,purple,Distractor1.bmp,lime,Distractor2.bmp,red,Target1.bmp,yellow,Distractor1.bmp,blue,Distractor2.bmp,4,1,5,TrialProc,6,PracticeTrialList,1,1,-999999,0,177567,0,1,1380,178947,Target1.bmp,red,1,,,,,,
KW_Experiment5A,35,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-18T20:57:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215244</Frequency><Timestamp dt:dt=""r8"">7455000455434</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-18T20:57:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-35-1,59.945,1.0.0.105,2,-1062150000,Professional,2.0.10.353,2.0.10.353,10/18/2018,10/18/2018 20:57,16:57:26,2.0.10.248,1,1,1,1,,,,,,,,PracticeProc,BlockList,6,1,Distractor2.bmp,2,0,,0,1,179970,600,,0,0,blue,600,3,600,,vertical,blue,Distractor2.bmp,red,Target1.bmp,lime,Distractor2.bmp,cyan,Distractor1.bmp,purple,Distractor2.bmp,yellow,Distractor1.bmp,2,1,6,TrialProc,3,PracticeTrialList,1,1,-999999,0,180570,0,1,769,181339,Target1.bmp,red,1,,,,,,
KW_Experiment5A,35,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-18T20:57:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215244</Frequency><Timestamp dt:dt=""r8"">7455000455434</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-18T20:57:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-35-1,59.945,1.0.0.105,2,-1062150000,Professional,2.0.10.353,2.0.10.353,10/18/2018,10/18/2018 20:57,16:57:26,2.0.10.248,2,2,1,2,,,,,,,,TrainingProc,BlockList,1,1,Distractor2.bmp,2,0,,1,13,188744,501,,0,0,blue,500,2,500,,vertical,blue,Distractor1.bmp,yellow,Distractor1.bmp,red,Target1.bmp,lime,Distractor2.bmp,purple,Distractor2.bmp,cyan,Distractor2.bmp,,,,TrialProc,3,TrainingTrialList,1,1,-999999,1,189245,0,1,710,189955,Target1.bmp,red,1,,,,9,2,1
KW_Experiment5A,35,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-18T20:57:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215244</Frequency><Timestamp dt:dt=""r8"">7455000455434</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-18T20:57:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-35-1,59.945,1.0.0.105,2,-1062150000,Professional,2.0.10.353,2.0.10.353,10/18/2018,10/18/2018 20:57,16:57:26,2.0.10.248,2,2,1,2,,,,,,,,TrainingProc,BlockList,2,1,Distractor2.bmp,2,0,,0,1,190980,500,,0,0,blue,500,2,500,,vertical,blue,Distractor2.bmp,cyan,Distractor2.bmp,red,Target1.bmp,yellow,Distractor2.bmp,lime,Distractor1.bmp,purple,Distractor1.bmp,,,,TrialProc,3,TrainingTrialList,1,1,-999999,0,191480,0,1,763,192243,Target1.bmp,red,1,,,,9,2,2
KW_Experiment5A,35,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-18T20:57:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215244</Frequency><Timestamp dt:dt=""r8"">7455000455434</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-18T20:57:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-35-1,59.945,1.0.0.105,2,-1062150000,Professional,2.0.10.353,2.0.10.353,10/18/2018,10/18/2018 20:57,16:57:26,2.0.10.248,2,2,1,2,,,,,,,,TrainingProc,BlockList,3,2,Distractor2.bmp,2,0,,0,1,193265,601,,0,0,purple,600,3,600,,horizontal,purple,Distractor2.bmp,cyan,Distractor1.bmp,yellow,Distractor1.bmp,lime,Distractor2.bmp,blue,Distractor2.bmp,red,Target2.bmp,,,,TrialProc,5,TrainingTrialList,1,2,-999999,1,193866,0,2,713,194579,Target2.bmp,red,2,,,,12,2,3
KW_Experiment5A,35,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2018-10-18T20:57:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3215244</Frequency><Timestamp dt:dt=""r8"">7455000455434</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2018-10-18T20:57:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",KW_Experiment5A-35-1,59.945,1.0.0.105,2,-1062150000,Professional,2.0.10.353,2.0.10.353,10/18/2018,10/18/2018 20:57,16:57:26,2.0.10.248,2,2,1,2,,,,,,,,TrainingProc,BlockList,4,1,Distractor2.bmp,2,0,,0,1,195601,400,,0,0,lime,400,1,400,,vertical,red,Target1.bmp,cyan,Distractor2.bmp,blue,Distractor1.bmp,yellow,Distractor2.bmp,purple,Distractor1.bmp,lime,Distractor2.bmp,,,,TrialProc,6,TrainingTrialList,1,1,-999999,0,196001,0,1,818,196819,Target1.bmp,red,1,,,,7,2,4
